"order_","line_item_amount","nama_staff","start_date","position"
1,30000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,84000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,60000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,60000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,29400.000000000004,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,36000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,72000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,45000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,72000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,72000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,74400,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,36000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,52800.00000000001,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,60000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,60000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,72000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,45000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,72000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,45000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,72000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,102000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,90000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,45000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,45000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,45000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,30000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,108000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,24000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,29400.000000000004,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,36000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,48000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,60000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,36000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,72000,"Andriawan Krisnanto","12/5/2014","Coffee Wrangler"
1,102000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
1,45000,"Adam Priyohadi","3/25/2006","Coffee Wrangler"
